"election_year","state","type","party","value","party_short","candidate","candidate_state","vp","vp_state","candidate_state_abb","vp_state_abb"
2000,"AL","evote","republican",9,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AL","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AL","popvote","republican",941173,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AL","popvote","democrat",692611,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AL","popvote","others",32488,NA,NA,NA,NA,NA,NA,NA
2000,"AL","evote","diff",-9,NA,NA,NA,NA,NA,NA,NA
2000,"AL","popvote","diff",-248562,NA,NA,NA,NA,NA,NA,NA
2000,"AL","popvoteperc","democrat",0.415665029478981,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AL","popvoteperc","republican",0.564837553532677,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AL","popvoteperc","diff",-0.149172524053696,NA,NA,NA,NA,NA,NA,NA
2000,"AK","evote","republican",3,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AK","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AK","popvote","republican",167398,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AK","popvote","democrat",79004,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AK","popvote","others",39158,NA,NA,NA,NA,NA,NA,NA
2000,"AK","evote","diff",-3,NA,NA,NA,NA,NA,NA,NA
2000,"AK","popvote","diff",-88394,NA,NA,NA,NA,NA,NA,NA
2000,"AK","popvoteperc","democrat",0.276663398235047,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AK","popvoteperc","republican",0.586209553158706,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AK","popvoteperc","diff",-0.309546154923659,NA,NA,NA,NA,NA,NA,NA
2000,"AZ","evote","republican",8,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AZ","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AZ","popvote","republican",781652,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AZ","popvote","democrat",685341,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AZ","popvote","others",65023,NA,NA,NA,NA,NA,NA,NA
2000,"AZ","evote","diff",-8,NA,NA,NA,NA,NA,NA,NA
2000,"AZ","popvote","diff",-96311,NA,NA,NA,NA,NA,NA,NA
2000,"AZ","popvoteperc","democrat",0.447345850173889,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AZ","popvoteperc","republican",0.51021138160437,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AZ","popvoteperc","diff",-0.0628655314304811,NA,NA,NA,NA,NA,NA,NA
2000,"AR","evote","republican",6,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AR","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AR","popvote","republican",472940,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AR","popvote","democrat",422768,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AR","popvote","others",26073,NA,NA,NA,NA,NA,NA,NA
2000,"AR","evote","diff",-6,NA,NA,NA,NA,NA,NA,NA
2000,"AR","popvote","diff",-50172,NA,NA,NA,NA,NA,NA,NA
2000,"AR","popvoteperc","democrat",0.45864256260435,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"AR","popvoteperc","republican",0.513071976966329,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"AR","popvoteperc","diff",-0.0544294143619797,NA,NA,NA,NA,NA,NA,NA
2000,"CA","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CA","evote","democrat",54,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CA","popvote","republican",4567429,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CA","popvote","democrat",5861203,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CA","popvote","others",537224,NA,NA,NA,NA,NA,NA,NA
2000,"CA","evote","diff",54,NA,NA,NA,NA,NA,NA,NA
2000,"CA","popvote","diff",1293774,NA,NA,NA,NA,NA,NA,NA
2000,"CA","popvoteperc","democrat",0.534495711050738,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CA","popvoteperc","republican",0.41651367663409,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CA","popvoteperc","diff",0.117982034416648,NA,NA,NA,NA,NA,NA,NA
2000,"CO","evote","republican",8,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CO","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CO","popvote","republican",883748,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CO","popvote","democrat",738227,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CO","popvote","others",119393,NA,NA,NA,NA,NA,NA,NA
2000,"CO","evote","diff",-8,NA,NA,NA,NA,NA,NA,NA
2000,"CO","popvote","diff",-145521,NA,NA,NA,NA,NA,NA,NA
2000,"CO","popvoteperc","democrat",0.42393509011306,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CO","popvoteperc","republican",0.507502147736722,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CO","popvoteperc","diff",-0.0835670576236615,NA,NA,NA,NA,NA,NA,NA
2000,"CT","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CT","evote","democrat",8,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CT","popvote","republican",561094,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"CT","popvote","democrat",816015,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"CT","popvote","others",82416,NA,NA,NA,NA,NA,NA,NA
2000,"CT","evote","diff",8,NA,NA,NA,NA,NA,NA,NA
2000,"CT","popvote","diff",254921,NA,NA,NA,NA,NA,NA,NA
2000,"CT","popvoteperc","democrat",0.559096281324403,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
